,index,Unnamed: 0,folder,dialogueID,date,from1,chatter,cycle,text,Label
0,0,0,301,1.tsv,2004-11-23T11:49:00.000Z,stuNNed,chatter1,0.0,any ideas why java plugin takes so long to load?,
1,2,2,301,1.tsv,2004-11-23T11:49:00.000Z,stuNNed,chatter1,,yes,
2,4,4,301,1.tsv,2004-11-23T11:50:00.000Z,stuNNed,chatter1,,noneus: how can i get 1.5 is there a .deb somewhere?,4
3,6,6,301,1.tsv,2004-11-23T11:50:00.000Z,stuNNed,chatter1,,noneus: is this blackdown or sun?,
4,7,7,301,1.tsv,2004-11-23T11:50:00.000Z,stuNNed,chatter1,,did you install just the jre?,
5,10,10,301,1.tsv,2004-11-23T11:52:00.000Z,stuNNed,chatter1,,"ah ok then, i'll give it a try, does IBM have a standard jre with plugin?",
6,12,12,301,1.tsv,2004-11-23T11:52:00.000Z,stuNNed,chatter1,,"thanks, i'll try that, screwed up and tried to upgrade firefox/java on my own now java takes real long time to load",
7,13,13,301,1.tsv,2004-11-23T11:57:00.000Z,stuNNed,chatter1,,"can't seem to find an ibm jre package, would you happen to have a url?",
8,16,16,301,1.tsv,2004-11-23T11:59:00.000Z,stuNNed,chatter1,,much appreciated,
9,17,17,301,1.tsv,2004-11-23T12:09:00.000Z,stuNNed,chatter1,,1.42 is latest IBM java?,
10,20,20,301,1.tsv,2004-11-23T12:10:00.000Z,stuNNed,chatter1,,do you have j2se-common installed in ubuntu as well is ibm's java?,
11,22,22,301,1.tsv,2004-11-23T12:11:00.000Z,stuNNed,chatter1,,"ok, got it",
12,23,23,301,1.tsv,2004-11-23T12:17:00.000Z,stuNNed,chatter1,,"i don't know what's up, no matter what java plugin i use, it takes a really long time to load a java applet",
13,24,24,301,1.tsv,2004-11-23T12:31:00.000Z,stuNNed,chatter1,,are you using warty or hoary?  and firefox .9 or 1.0?,
14,26,26,301,1.tsv,2004-11-23T12:31:00.000Z,stuNNed,chatter1,,"eh, i dare not to go there :)",
15,27,27,301,1.tsv,2004-11-23T12:32:00.000Z,stuNNed,chatter1,,where'd you get that mozilla-firefox from sid? ;),
16,29,29,301,1.tsv,2004-11-23T12:32:00.000Z,stuNNed,chatter1,,i can get the .deb on the web?,
17,31,31,301,1.tsv,2004-11-23T12:33:00.000Z,stuNNed,chatter1,,but...Hoary...isn't that unstable?,
18,32,32,301,1.tsv,2004-11-23T12:35:00.000Z,stuNNed,chatter1,,how did you hold back and keep Warty kernel?,
19,34,34,301,1.tsv,2004-11-23T12:43:00.000Z,stuNNed,chatter1,,"ok so far IBM's java is pretty clean, fast, and seems stable (so far) :D",
